score	published	tickers
-0.4838709677419355	2022-05-13	TWTR
-0.23076923076923078	2022-05-14	TWTR
0.4705882352941177	2022-05-10	TWTR
0.6428571428571428	2022-04-10	TWTR
0.7	2022-04-14	TWTR
0.40540540540540543	2022-04-14	TWTR
-0.40740740740740744	2022-07-30	TWTR
-0.47826086956521735	2022-07-09	TWTR
-0.0714285714285714	2022-04-18	TWTR
-0.5263157894736843	2022-06-06	TWTR
0.21052631578947367	2022-05-04	TWTR
0.6111111111111112	2022-04-25	TWTR
0.40740740740740744	2022-05-17	TWTR
0.8666666666666667	2022-06-17	TWTR
0.14999999999999997	2022-05-04	TWTR
0.0	2022-05-04	TWTR
0.1891891891891892	2022-04-06	MGNT
0.08571428571428569	2022-03-28	AAPL
0.4883720930232558	2022-05-18	MTSS
0.641025641025641	2022-07-29	MTSS
0.7818181818181817	2022-05-18	MTSS
0.7872340425531914	2022-05-18	MTSS
0.7083333333333333	2022-04-14	MTSS
0.631578947368421	2022-04-14	MTSS
0.6666666666666667	2022-07-01	MTSS
0.631578947368421	2022-05-24	MTSS
-0.3170731707317073	2022-06-06	NFLX
-0.13043478260869562	2022-06-06	NFLX
0.34782608695652173	2022-06-23	PIKK
-0.18181818181818182	2022-04-05	NLMK
-0.5757575757575757	2022-04-07	LKOH
0.4883720930232558	2022-06-07	LKOH
0.6981132075471699	2022-05-19	LKOH
-0.023255813953488413	2022-04-07	LKOH
0.3191489361702127	2022-04-21	LKOH
0.4285714285714286	2022-05-12	LKOH
0.09677419354838707	2022-05-25	LKOH
-0.09090909090909088	2022-04-21	LKOH
-0.09090909090909088	2022-04-01	GAZP
-0.4838709677419355	2022-07-30	HSY
-0.8461538461538463	2022-07-29	AAPL
0.31034482758620685	2022-06-16	AAPL
-0.7931034482758621	2022-05-27	GAZP
-0.125	2022-06-14	GAZP
0.5	2022-07-13	GAZP
-0.6799999999999999	2022-06-14	GAZP
0.06666666666666665	2022-04-15	TWTR
0.6216216216216217	2022-06-01	GAZP
0.0625	2022-05-16	ROSN
-0.11764705882352944	2022-07-17	MTSS
0.1333333333333333	2022-04-11	TWTR
-0.19999999999999996	2022-07-30	TWTR
-0.8400000000000001	2022-05-21	AAPL
-0.5	2022-04-25	POLY
-0.1891891891891892	2022-07-18	GAZP
-0.29411764705882354	2022-07-12	GAZP
-0.4482758620689655	2022-05-29	GAZP
-0.7142857142857142	2022-07-08	AFLT
0.0222222222222222	2022-05-24	AAPL
-0.030303030303030276	2022-06-07	IBM
-0.7692307692307692	2022-04-11	NOK
-0.4285714285714286	2022-04-27	GAZP
0.7647058823529411	2022-07-21	GAZP
0.3076923076923077	2022-07-01	GAZP
0.37931034482758624	2022-07-13	AFLT
-0.43999999999999995	2022-05-12	VKCO
-0.3333333333333333	2022-06-29	AAPL
-0.40740740740740744	2022-06-29	AAPL
-0.7931034482758621	2022-06-07	DVEC
0.46341463414634143	2022-06-01	VKCO
0.2916666666666667	2022-06-01	VKCO
0.393939393939394	2022-07-02	PIKK
0.5	2022-05-24	GAZP
-0.3333333333333333	2022-07-20	NLMK
0.6097560975609757	2022-04-21	AFLT
0.7142857142857142	2022-05-23	PFE
-0.5151515151515151	2022-06-05	CVX
-0.8378378378378379	2022-05-26	PFE
-0.5384615384615385	2022-06-16	BKR
0.18181818181818182	2022-07-28	GAZP
